Партія,Міська рада,Кандидати,Обрано,Не обрано
"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ""",Барська міська рада,31,2,29
"ПОЛІТИЧНА ПАРТІЯ ""ОБ’ЄДНАННЯ ""САМОПОМІЧ""",Гайсинська міська рада,27,4,23
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Іллінецька міська рада,21,2,19
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Барська міська рада,27,0,27
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Бершадська міська рада,33,2,31
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Вінницька міська рада,54,5,49
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Гайсинська міська рада,20,3,17
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Жмеринська міська рада,34,6,28
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Калинівська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Козятинська міська рада,25,3,22
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Ладижинська міська рада,16,2,14
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Могилів-Подільська міська рада,27,4,23
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Немирівська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Погребищенська міська рада,16,2,14
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Тульчинська міська рада,18,3,15
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Хмільницька міська рада,26,0,26
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Шаргородська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",Ямпільська міська рада,20,2,18
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Бершадська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Вінницька міська рада,42,0,42
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Гайсинська міська рада,25,2,23
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Жмеринська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Козятинська міська рада,23,2,21
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Ладижинська міська рада,19,2,17
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Хмільницька міська рада,29,0,29
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",Шаргородська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ШАРІЯ""",Вінницька міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",Барська міська рада,26,0,26
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",Жмеринська міська рада,27,0,27
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",Козятинська міська рада,26,0,26
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",Ладижинська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",Тульчинська міська рада,20,2,18
"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ МІСТО""",Козятинська міська рада,18,0,18
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Іллінецька міська рада,25,2,23
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Барська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Вінницька міська рада,36,0,36
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Жмеринська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Козятинська міська рада,18,0,18
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Ладижинська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Липовецька міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Могилів-Подільська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Немирівська міська рада,26,6,20
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Погребищенська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Тульчинська міська рада,24,3,21
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Хмільницька міська рада,30,0,30
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Шаргородська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",Ямпільська міська рада,24,0,24
"ПОЛІТИЧНА ПАРТІЯ ""РУХ СПРАВЕДЛИВОСТІ""",Вінницька міська рада,31,0,31
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Барська міська рада,30,0,30
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Бершадська міська рада,28,0,28
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Вінницька міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Гайсинська міська рада,23,0,23
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Жмеринська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Калинівська міська рада,31,0,31
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Козятинська міська рада,20,0,20
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Ладижинська міська рада,17,2,15
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Могилів-Подільська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Немирівська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Тульчинська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Шаргородська міська рада,20,0,20
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",Ямпільська міська рада,25,3,22
"ПОЛІТИЧНА ПАРТІЯ ""СИЛА ЛЮДЕЙ""",Козятинська міська рада,21,0,21
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Іллінецька міська рада,26,6,20
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Барська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Бершадська міська рада,33,6,27
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Вінницька міська рада,54,6,48
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Гайсинська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Гніванська міська рада,23,3,20
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Жмеринська міська рада,31,4,27
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Калинівська міська рада,31,3,28
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Козятинська міська рада,26,4,22
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Ладижинська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Липовецька міська рада,25,4,21
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Могилів-Подільська міська рада,34,11,23
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Немирівська міська рада,22,0,22
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Погребищенська міська рада,18,2,16
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Тульчинська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Хмільницька міська рада,34,4,30
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Шаргородська міська рада,26,6,20
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",Ямпільська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",Барська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",Ямпільська міська рада,22,2,20
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Іллінецька міська рада,26,7,19
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Барська міська рада,34,11,23
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Бершадська міська рада,34,10,24
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька міська рада,54,34,20
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Гайсинська міська рада,26,8,18
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Гніванська міська рада,26,9,17
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Жмеринська міська рада,34,10,24
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Калинівська міська рада,34,17,17
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Козятинська міська рада,26,9,17
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Ладижинська міська рада,25,4,21
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Липовецька міська рада,26,9,17
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Могилів-Подільська міська рада,33,9,24
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Немирівська міська рада,26,7,19
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Погребищенська міська рада,25,9,16
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Тульчинська міська рада,33,10,23
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Хмільницька міська рада,34,9,25
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Шаргородська міська рада,25,9,16
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Ямпільська міська рада,26,9,17
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Іллінецька міська рада,26,5,21
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Барська міська рада,34,3,31
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Бершадська міська рада,34,0,34
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Вінницька міська рада,43,0,43
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Гайсинська міська рада,32,4,28
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Гніванська міська рада,21,5,16
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Жмеринська міська рада,33,4,29
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Калинівська міська рада,32,4,28
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Козятинська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Ладижинська міська рада,17,3,14
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Липовецька міська рада,26,5,21
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Могилів-Подільська міська рада,26,3,23
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Немирівська міська рада,26,7,19
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Погребищенська міська рада,26,4,22
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Тульчинська міська рада,28,4,24
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Хмільницька міська рада,31,4,27
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Шаргородська міська рада,25,5,20
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""БАТЬКІВЩИНА""",Ямпільська міська рада,25,3,22
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Бершадська міська рада,17,0,17
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Вінницька міська рада,32,0,32
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Гайсинська міська рада,32,0,32
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Гніванська міська рада,21,2,19
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Жмеринська міська рада,31,0,31
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Калинівська міська рада,27,0,27
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Ладижинська міська рада,18,0,18
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Могилів-Подільська міська рада,16,0,16
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Погребищенська міська рада,22,3,19
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Тульчинська міська рада,19,0,19
"ПОЛІТИЧНА ПАРТІЯ ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""СВОБОДА""",Шаргородська міська рада,23,0,23
"УКРАЇНСЬКА ПАРТІЯ ЧЕСТІ, БОРОТЬБИ З КОРУПЦІЄЮ ТА ОРГАНІЗОВАНОЮ ЗЛОЧИННІСТЮ",Вінницька міська рада,54,0,54
All,,5272,559,4713
